OBJECTID_1;FID_new;max;sum;vuosi;Id
;5594;1;2438;2015;0
;5594;1;1671;2019;0
;5594;1;767;2014;0
;5594;1;392;2015;0
;5594;1;781;2019;0
;5594;;;2020;0
;5594;1;2793;2018;0
;5594;1;708;2018;0
;5593;1;185;2010;0
;5593;1;736;2014;0
;5593;1;735;2018;0
;5593;1;740;2019;0
;5593;;;2021;0
;5592;1;226;2010;0
;5592;1;867;2014;0
;5592;1;415;2018;0
;5592;1;395;2019;0
;5591;1;938;2010;0
;5591;1;3719;2014;0
;5591;1;3527;2018;0
;5591;1;3503;2019;0
;5590;1;240;2010;0
;5590;1;1427;2014;0
;5590;1;1176;2018;0
;5590;1;1707;2019;0
;5589;1;306;2010;0
;5589;;;2013;0
;5589;;;2018;0
;5589;1;2346;2021;0
;5588;1;123;2010;0
;5588;1;378;2015;0
;5588;;;2019;0
;5587;1;462;2010;0
;5587;1;1836;2014;0
;5587;1;2127;2019;0
;5586;1;1749;2010;0
;5586;1;1792;2015;0
;5586;1;2177;2017;0
;5586;1;1943;2018;0
;5586;1;2121;2021;0
;5586;1;5774;2010;0
;5586;1;5535;2015;0
;5586;1;6816;2017;0
;5586;1;6267;2018;0
;5586;1;6866;2021;0
;5585;1;1166;2010;0
;5585;1;1495;2016;0
;5584;1;5621;2010;0
;5584;1;6741;2011;0
;5583;1;576;2010;0
;5583;1;640;2016;0
;5582;1;16122;2012;0
;5582;1;12468;2015;0
;5582;1;14837;2019;0
;5581;1;2339;2012;0
;5581;1;2201;2015;0
;5581;1;4416;2019;0
;5580;1;829;2012;0
;5580;1;583;2015;0
;5580;1;1536;2019;0
;5579;1;1174;2012;0
;5579;1;1178;2015;0
;5579;1;1366;2019;0
;5579;1;126;2012;0
;5579;1;133;2015;0
;5579;1;163;2019;0
;5578;1;5675;2012;0
;5578;1;5023;2015;0
;5577;1;6655;2009;0
;5577;1;9100;2017;0
;5576;1;4773;2009;0
;5576;1;5406;2017;0
;5575;1;949;2009;0
;5575;1;1162;2015;0
;5575;1;1694;2017;0
;5575;1;1827;2020;0
;5574;1;5360;2009;0
;5574;1;4907;2015;0
;5574;1;6203;2017;0
;5574;1;5714;2020;0
;5573;1;3471;2009;0
;5573;1;3624;2017;0
;5573;1;3592;2020;0
;5572;1;201;2014;0
;5572;1;729;2018;0
;5572;1;979;2021;0
;5572;1;46;2010;0
;5571;1;5630;2014;0
;5571;1;5848;2021;0
;5570;1;3779;2009;0
;5570;1;4518;2016;0
;5569;1;4525;2017;0
;5568;1;4214;2017;0
;5567;1;2175;2013;0
;5567;1;2171;2014;0
;5566;1;8943;2010;0
;5566;1;6878;2016;0
;5565;1;8779;2010;0
;5565;1;3956;2016;0
;5564;1;11916;2010;0
;5564;1;10247;2016;0
;5564;;;2018;0
;5563;1;2224;2010;0
;5563;1;2101;2016;0
;5563;;;2018;0
;5562;1;19781;2010;0
;5562;1;16234;2016;0
;5561;1;4776;2010;0
;5561;1;4139;2016;0
;5561;;;2018;0
;5560;1;1025;2013;0
;5560;1;1096;2014;0
;5560;;;2017;0
;5560;1;1245;2018;0
;5559;1;2900;2010;0
;5559;1;1573;2016;0
;5559;;;2018;0
;5558;1;9600;2010;0
;5558;1;5564;2016;0
;5557;1;3943;2012;0
;5557;1;4056;2014;0
;5556;1;2211;2010;0
;5556;1;457;2016;0
;5556;1;501;2021;0
;5555;1;502;2012;0
;5555;1;524;2014;0
;5555;1;519;2019;0
;5554;1;2246;2010;0
;5554;1;1834;2014;0
;5554;1;1120;2021;0
;5553;1;323;2010;0
;5553;1;341;2014;0
;5553;1;559;2021;0
;5552;1;7045;2012;0
;5552;1;6673;2014;0
;5552;1;7246;2019;0
;5551;1;4145;2012;0
;5551;;;2014;0
;5551;1;4413;2019;0
;5550;1;812;2010;0
;5550;1;829;2012;0
;5550;1;848;2014;0
;5550;1;899;2016;0
;5550;1;504;2019;0
;5549;1;1339;2010;0
;5549;1;1449;2014;0
;5549;1;1545;2016;0
;5549;;;2021;0
;5548;1;5602;2010;0
;5548;1;7066;2016;0
;5548;1;7881;2019;0
;5548;;;2012;0
;5547;1;344;2010;0
;5547;1;526;2016;0
;5547;1;541;2019;0
;5547;;;2021;0
;5546;1;303;2012;0
;5546;1;1041;2010;0
;5545;1;13850;2010;0
;5545;1;15658;2016;0
;5544;1;2858;2012;0
;5544;1;2968;2015;0
;5543;1;814;2013;0
;5543;1;870;2015;0
;5543;1;888;2018;0
;5542;1;4652;2013;0
;5542;1;5814;2015;0
;5542;1;6165;2018;0
;5541;1;2463;2013;0
;5541;1;3644;2015;0
;5541;;;2018;0
;5540;1;3135;2013;0
;5540;1;3732;2015;0
;5540;1;3907;2018;0
;5539;1;1729;2012;0
;5539;1;2405;2015;0
;5538;1;2747;2012;0
;5538;1;3851;2015;0
;5537;1;312;2012;0
;5537;1;414;2019;0
;5536;1;131;2010;0
;5536;1;21;2012;0
;5536;1;151;2017;0
;5536;1;154;2018;0
;5536;1;147;2020;0
;5535;1;6159;2010;0
;5535;1;2939;2012;0
;5535;1;5033;2017;0
;5535;1;4958;2018;0
;5535;1;5242;2020;0
;5534;1;1940;2009;0
;5534;1;8298;2021;0
;5533;1;3688;2015;0
;5533;1;3752;2016;0
;5533;1;4155;2016;0
;5533;;;2017;0
;5533;;;2021;0
;5532;1;2375;2010;0
;5532;;;2015;0
;5532;1;4274;2016;0
;5531;1;350;2010;0
;5531;;;2015;0
;5531;1;565;2016;0
;5530;1;3995;2013;0
;5530;1;4136;2015;0
;5530;1;4339;2016;0
;5530;1;5848;2021;0
;5529;1;2745;2013;0
;5529;1;2660;2015;0
;5529;1;2451;2016;0
;5529;1;3992;2021;0
;5528;1;13932;2013;0
;5528;1;9875;2015;0
;5528;1;8601;2016;0
;5528;1;6952;2021;0
;5527;1;631;2012;0
;5527;1;641;2013;0
;5527;;;2021;0
;5526;1;2298;2013;0
;5526;1;2237;2017;0
;5526;1;2102;2019;0
;5526;1;2581;2012;0
;5526;1;307;2012;0
;5526;1;354;2013;0
;5526;1;387;2017;0
;5526;1;375;2019;0
;5525;1;1637;2013;0
;5525;1;1403;2017;0
;5524;1;4937;2008;0
;5524;;;2013;0
;5524;;;2017;0
;5524;1;5732;2019;0
;5523;1;4540;2008;0
;5523;;;2013;0
;5523;1;5155;2019;0
;5522;1;2370;2008;0
;5522;1;2413;2013;0
;5522;1;2578;2019;0
;5521;1;3133;2013;0
;5521;;;2019;0
;5521;1;2336;2021;0
;5520;1;2100;2013;0
;5520;1;2770;2018;0
;5520;1;2769;2021;0
;5519;1;1591;2011;0
;5519;1;5265;2013;0
;5519;1;6682;2016;0
;5519;1;6718;2020;0
;5518;1;554;2009;0
;5518;1;638;2016;0
;5518;1;378;2020;0
;5518;;;2021;0
;5517;1;5898;2010;0
;5517;1;2353;2013;0
;5517;1;2933;2016;0
;5516;1;411;2009;0
;5516;1;532;2010;0
;5516;1;892;2016;0
;5515;1;1899;2009;0
;5515;1;1933;2010;0
;5515;1;1780;2014;0
;5514;1;343;2014;0
;5514;1;339;2017;0
;5514;;;2018;0
;5513;1;12225;2014;0
;5513;1;12709;2017;0
;5513;;;2018;0
;5512;1;2910;2010;0
;5512;1;2328;2012;0
;5512;1;2834;2014;0
;5511;1;2109;2008;0
;5511;1;715;2010;0
;5511;1;1369;2014;0
;5510;1;168;2010;0
;5510;1;74;2012;0
;5510;;;2017;0
;5510;1;330;2021;0
;5509;;;2010;0
;5509;1;179;2012;0
;5509;1;780;2015;0
;5509;;;2017;0
;5509;1;1357;2021;0
;5508;;;2010;0
;5508;1;508;2012;0
;5508;1;2268;2015;0
;5508;;;2017;0
;5508;1;2570;2020;0
;5507;1;1070;2011;0
;5507;1;3918;2014;0
;5507;1;4072;2016;0
;5507;1;3737;2021;0
;5507;;;2015;0
;5506;1;797;2009;0
;5506;1;200;2011;0
;5506;;;2014;0
;5506;1;4404;2021;0
;5505;1;572;2009;0
;5505;1;637;2010;0
;5505;1;612;2016;0
;5505;;;2020;0
;5505;;;2021;0
;5504;1;3320;2008;0
;5504;1;3595;2009;0
;5504;1;4271;2010;0
;5504;1;4568;2014;0
;5503;1;9;2012;0
;5503;1;55;2014;0
;5503;1;385;2019;0
;5502;1;344;2012;0
;5502;1;389;2014;0
;5502;1;390;2019;0
;5501;1;1187;2008;0
;5501;;;2010;0
;5501;;;2014;0
;5501;1;6579;2015;0
;5501;1;6698;2019;0
;5500;1;1538;2011;0
;5500;1;1554;2018;0
;5500;1;1545;2019;0
;5499;1;17;2012;0
;5499;1;1;2013;0
;5499;1;1;2015;0
;5499;;;2018;0
;5499;1;3;2019;0
;5498;1;1159;2009;0
;5498;1;1853;2014;0
;5498;1;4314;2016;0
;5498;;;2021;0
;5498;1;1145;2010;0
;5497;1;212;2009;0
;5497;1;1714;2015;0
;5497;1;14;2021;0
;5496;1;366;2009;0
;5496;1;1196;2016;0
;5495;1;4308;2010;0
;5495;1;6002;2015;0
;5495;1;7679;2019;0
;5494;1;5810;2013;0
;5494;;;2019;0
;5494;;;2020;0
;5493;1;4898;2010;0
;5493;1;5779;2015;0
;5493;;;2019;0
;5493;1;5285;2020;0
;5493;1;4361;2013;0
;5493;1;5623;2014;0
;5492;1;959;2013;0
;5492;1;1501;2015;0
;5492;1;1469;2020;0
;5491;1;818;2013;0
