ASTA_ID;pre_raster_id;vuosi;5m_sum;sum_total;canopy_percent
113;397;2009;3574;4050;88.2469135802469
116;398;2009;465;1028;45.2334630350195
110;399;2009;16;37;43.2432432432432
114;400;2009;3574;4050;88.2469135802469
117;401;2009;465;1028;45.2334630350195
135;402;2012;92;577;15.9445407279029
115;403;2012;4863;5558;87.4955019791292
118;404;2012;3426;4658;73.550880206097
111;405;2012;7036;7159;98.2818829445453
120;406;2012;1812;1888;95.9745762711864
112;407;2012;7036;7159;98.2818829445453
121;408;2012;3578;4453;80.3503256231754
119;409;2012;3426;4658;73.550880206097
113;410;2012;3644;4045;90.0865265760198
116;411;2012;532;1041;51.104707012488
110;412;2012;25;47;53.1914893617021
114;413;2012;3644;4045;90.0865265760198
117;414;2012;532;1041;51.104707012488
122;415;2009;;266;0
122;416;2012;;244;0
123;417;2010;2423;3868;62.6421923474664
123;418;2012;2635;3922;67.1851096379398
123;419;2019;1337;3861;34.6283346283346
124;420;2009;2967;3237;91.6589434661724
124;421;2012;2676;3177;84.2304060434372
130;422;2009;48;71;67.6056338028169
127;423;2009;66;125;52.8
128;424;2009;66;125;52.8
129;425;2009;48;71;67.6056338028169
126;426;2009;3392;3520;96.3636363636364
125;427;2009;3649;3982;91.6373681567052
130;428;2012;26;71;36.6197183098592
127;429;2012;49;116;42.2413793103448
128;430;2012;49;116;42.2413793103448
129;431;2012;26;71;36.6197183098592
126;432;2012;3237;3510;92.2222222222222
125;433;2012;3834;3987;96.1625282167043
130;434;2019;;70;0
127;435;2019;;119;0
128;436;2019;;119;0
129;437;2019;;70;0
126;438;2019;1608;3427;46.921505690108
125;439;2019;682;3938;17.3184357541899
131;440;2009;3249;3415;95.1390922401171
131;441;2011;3035;3393;89.4488653109343
131;442;2012;3242;3398;95.4090641553855
132;443;2009;;;0
132;444;2011;3510;3911;89.7468678087446
132;445;2012;3750;3905;96.0307298335467
132;446;2015;;;0
133;447;2010;521;572;91.0839160839161
133;448;2015;549;571;96.1471103327496
134;449;2010;477;653;73.0474732006126
134;450;2015;555;654;84.8623853211009
134;451;2019;573;644;88.9751552795031
139;452;2009;6107;8260;73.9346246973366
137;453;2009;1051;1959;53.6498213374171
136;454;2009;1051;1959;53.6498213374171
138;455;2009;6107;8260;73.9346246973366
139;456;2012;7220;8297;87.0194046040738
137;457;2012;1648;1964;83.9103869653768
136;458;2012;1648;1964;83.9103869653768
138;459;2012;7220;8297;87.0194046040738
142;460;2010;1468;1591;92.2690131992457
140;461;2010;44;52;84.6153846153846
142;462;2015;1535;1592;96.4195979899497
140;463;2015;52;52;100
142;464;2019;256;1574;16.2642947903431
140;465;2019;33;52;63.4615384615385
141;466;2010;4655;5005;93.006993006993
141;467;2015;4958;5006;99.0411506192569
141;468;2019;;;0
141;469;2021;;;0
152;470;2010;431;518;83.2046332046332
148;471;2010;675;1045;64.5933014354067
145;472;2010;3387;4251;79.6753705010586
143;473;2010;3097;3211;96.4497041420118
149;474;2010;675;1045;64.5933014354067
147;475;2010;249;321;77.5700934579439
146;476;2010;3387;4251;79.6753705010586
151;477;2010;431;518;83.2046332046332
150;478;2010;675;1045;64.5933014354067
152;479;2015;501;517;96.9052224371373
148;480;2015;765;1068;71.6292134831461
145;481;2015;3817;4293;88.9121826228745
143;482;2015;393;3141;12.5119388729704
149;483;2015;765;1068;71.6292134831461
147;484;2015;313;346;90.4624277456647
146;485;2015;3817;4293;88.9121826228745
151;486;2015;501;517;96.9052224371373
150;487;2015;765;1068;71.6292134831461
152;488;2019;;;0
148;489;2019;;;0
145;490;2019;;;0
143;491;2019;;;0
149;492;2019;;;0
147;493;2019;;;0
146;494;2019;;;0
151;495;2019;;;0
150;496;2019;;;0
152;497;2020;509;517;98.4526112185687
148;498;2020;771;1066;72.3264540337711
145;499;2020;2708;4142;65.3790439401255
143;500;2020;;;0
149;501;2020;771;1066;72.3264540337711
147;502;2020;328;346;94.7976878612717
146;503;2020;2708;4142;65.3790439401255
151;504;2020;509;517;98.4526112185687
150;505;2020;771;1066;72.3264540337711
144;506;2010;214;215;99.5348837209302
144;507;2015;215;215;100
144;508;2019;;;0
144;509;2020;;;0
152;510;2013;412;516;79.8449612403101
148;511;2013;611;1056;57.8598484848485
151;512;2013;412;516;79.8449612403101
146;513;2013;2928;4263;68.6840253342716
145;514;2013;2928;4263;68.6840253342716
150;515;2013;611;1056;57.8598484848485
147;516;2013;265;331;80.0604229607251
149;517;2013;611;1056;57.8598484848485
152;518;2014;152;181;83.9779005524862
148;519;2014;371;483;76.8115942028986
151;520;2014;152;181;83.9779005524862
146;521;2014;3746;4197;89.2542292113414
145;522;2014;3746;4197;89.2542292113414
150;523;2014;371;483;76.8115942028986
149;524;2014;371;483;76.8115942028986
153;525;2011;1822;2309;78.9086184495453
153;526;2012;1951;2311;84.4223279965383
153;527;2015;2055;2322;88.5012919896641
154;528;2011;1160;2568;45.1713395638629
154;529;2013;1728;2594;66.615265998458
154;530;2015;96;2509;3.82622558788362
155;531;2012;2682;3186;84.180790960452
155;532;2013;2777;3219;86.269027648338
155;533;2021;;;0
160;534;2010;616;805;76.5217391304348
156;535;2010;4271;4638;92.0871065114274
159;536;2010;616;805;76.5217391304348
157;537;2010;616;805;76.5217391304348
158;538;2010;616;805;76.5217391304348
156;539;2012;3783;4659;81.1976819059884
160;540;2013;784;829;94.5717732207479
156;541;2013;4032;4655;86.6165413533835
159;542;2013;784;829;94.5717732207479
157;543;2013;784;829;94.5717732207479
158;544;2013;784;829;94.5717732207479
160;545;2019;;;0
156;546;2019;;;0
159;547;2019;;;0
157;548;2019;;;0
158;549;2019;;;0
161;550;2012;686;1601;42.8482198625859
161;551;2013;622;1558;39.9229781771502
161;552;2021;;;0
162;553;2012;32;32;100
162;554;2013;32;32;100
163;555;2010;1025;1058;96.8809073724008
163;556;2012;937;1017;92.133726647001
163;557;2013;1027;1059;96.9782813975449
163;558;2019;;;0
164;559;2012;2421;2638;91.7740712661107
164;560;2013;2475;2635;93.9278937381404
165;561;2009;3388;3881;87.2970883792837
165;562;2017;144;3763;3.82673398883869
170;563;2009;187;490;38.1632653061224
169;564;2009;1676;1919;87.3371547681084
167;565;2009;2727;3120;87.4038461538461
166;566;2009;2727;3120;87.4038461538461
168;567;2009;1676;1919;87.3371547681084
170;568;2016;267;487;54.8254620123203
169;569;2016;1353;1900;71.2105263157895
167;570;2016;1748;3038;57.5378538512179
166;571;2016;1748;3038;57.5378538512179
168;572;2016;1353;1900;71.2105263157895
170;573;2017;;415;0
169;574;2017;432;1862;23.2008592910849
167;575;2017;547;2987;18.3126883160362
166;576;2017;547;2987;18.3126883160362
168;577;2017;432;1862;23.2008592910849
171;578;2009;709;869;81.5880322209436
171;579;2015;664;876;75.7990867579909
171;580;2017;;;0
171;581;2021;;;0
172;582;2009;1189;1536;77.4088541666667
172;583;2015;1268;1526;83.0930537352556
172;584;2017;;;0
172;585;2021;654;1535;42.6058631921824
174;586;2009;526;887;59.3010146561443
173;587;2009;984;1716;57.3426573426573
174;588;2015;338;878;38.496583143508
173;589;2015;118;1695;6.96165191740413
174;590;2017;;;0
173;591;2017;;;0
174;592;2021;492;887;55.467869222097
173;593;2021;208;1701;12.22810111699
176;594;2012;3116;4378;71.1740520785747
175;595;2012;1921;2215;86.7268623024831
176;596;2013;3463;4432;78.1362815884477
175;597;2013;1990;2227;89.3578805568029
176;598;2021;;;0
175;599;2021;;;0
177;600;2012;909;1048;86.7366412213741
177;601;2013;981;1043;94.0556088207095
177;602;2021;93;1035;8.98550724637681
185;603;2012;2303;2634;87.4335611237661
178;604;2012;5;21;23.8095238095238
179;605;2012;5;21;23.8095238095238
182;606;2012;812;833;97.4789915966387
183;607;2012;812;833;97.4789915966387
184;608;2012;2303;2634;87.4335611237661
180;609;2012;1286;1989;64.6556058320764
181;610;2012;1286;1989;64.6556058320764
185;611;2013;2312;2655;87.0809792843691
178;612;2013;20;21;95.2380952380952
179;613;2013;20;21;95.2380952380952
182;614;2013;817;827;98.7908101571947
183;615;2013;817;827;98.7908101571947
184;616;2013;2312;2655;87.0809792843691
180;617;2013;1490;1991;74.8367654445002
181;618;2013;1490;1991;74.8367654445002
185;619;2021;1086;2581;42.0767144517629
178;620;2021;21;21;100
179;621;2021;21;21;100
182;622;2021;265;831;31.8892900120337
183;623;2021;265;831;31.8892900120337
184;624;2021;1086;2581;42.0767144517629
180;625;2021;1223;2034;60.1278269419862
181;626;2021;1223;2034;60.1278269419862
188;627;2012;1275;1440;88.5416666666667
186;628;2012;1362;1631;83.5070508890251
187;629;2012;375;458;81.8777292576419
188;630;2013;1340;1481;90.4794058068872
186;631;2013;1282;1566;81.8646232439336
187;632;2013;408;476;85.7142857142857
188;633;2021;;;0
186;634;2021;;;0
187;635;2021;;;0
203;636;2008;6187;6619;93.4733343405348
202;637;2008;6187;6619;93.4733343405348
192;638;2008;1959;2211;88.6024423337856
190;639;2008;1534;1633;93.937538273117
199;640;2008;378;385;98.1818181818182
195;641;2008;1959;2211;88.6024423337856
189;642;2008;1534;1633;93.937538273117
194;643;2008;1959;2211;88.6024423337856
191;644;2008;1534;1633;93.937538273117
198;645;2008;378;385;98.1818181818182
197;646;2008;81;81;100
201;647;2008;6187;6619;93.4733343405348
193;648;2008;1959;2211;88.6024423337856
196;649;2008;81;81;100
200;650;2008;378;385;98.1818181818182
203;651;2009;6822;7792;87.5513347022587
202;652;2009;6822;7792;87.5513347022587
192;653;2009;2193;2459;89.1825945506303
190;654;2009;1684;1871;90.0053447354356
199;655;2009;388;415;93.4939759036145
195;656;2009;2193;2459;89.1825945506303
189;657;2009;1684;1871;90.0053447354356
194;658;2009;2193;2459;89.1825945506303
191;659;2009;1684;1871;90.0053447354356
198;660;2009;388;415;93.4939759036145
197;661;2009;84;96;87.5
201;662;2009;6822;7792;87.5513347022587
193;663;2009;2193;2459;89.1825945506303
196;664;2009;84;96;87.5
200;665;2009;388;415;93.4939759036145
203;666;2015;7002;7757;90.2668557431997
202;667;2015;7002;7757;90.2668557431997
192;668;2015;2303;2456;93.7703583061889
190;669;2015;1698;1868;90.8993576017131
199;670;2015;392;413;94.9152542372881
195;671;2015;2303;2456;93.7703583061889
189;672;2015;1698;1868;90.8993576017131
194;673;2015;2303;2456;93.7703583061889
191;674;2015;1698;1868;90.8993576017131
198;675;2015;392;413;94.9152542372881
197;676;2015;82;95;86.3157894736842
201;677;2015;7002;7757;90.2668557431997
193;678;2015;2303;2456;93.7703583061889
196;679;2015;82;95;86.3157894736842
200;680;2015;392;413;94.9152542372881
203;681;2016;7349;7792;94.314681724846
202;682;2016;7349;7792;94.314681724846
192;683;2016;2400;2459;97.6006506710045
190;684;2016;1769;1871;94.5483698556921
199;685;2016;404;415;97.3493975903614
195;686;2016;2400;2459;97.6006506710045
189;687;2016;1769;1871;94.5483698556921
194;688;2016;2400;2459;97.6006506710045
191;689;2016;1769;1871;94.5483698556921
198;690;2016;404;415;97.3493975903614
197;691;2016;84;96;87.5
201;692;2016;7349;7792;94.314681724846
193;693;2016;2400;2459;97.6006506710045
196;694;2016;84;96;87.5
200;695;2016;404;415;97.3493975903614
203;696;2019;573;7655;7.48530372305683
202;697;2019;573;7655;7.48530372305683
192;698;2019;165;2428;6.79571663920922
190;699;2019;81;1852;4.37365010799136
199;700;2019;128;406;31.5270935960591
195;701;2019;165;2428;6.79571663920922
189;702;2019;81;1852;4.37365010799136
194;703;2019;165;2428;6.79571663920922
191;704;2019;81;1852;4.37365010799136
198;705;2019;128;406;31.5270935960591
197;706;2019;15;93;16.1290322580645
201;707;2019;573;7655;7.48530372305683
193;708;2019;165;2428;6.79571663920922
196;709;2019;15;93;16.1290322580645
200;710;2019;128;406;31.5270935960591
208;711;2009;824;882;93.4240362811791
207;712;2009;905;984;91.9715447154472
205;713;2009;288;289;99.6539792387543
204;714;2009;288;289;99.6539792387543
206;715;2009;905;984;91.9715447154472
208;716;2015;9;881;1.02156640181612
207;717;2015;958;984;97.3577235772358
205;718;2015;289;289;100
204;719;2015;289;289;100
206;720;2015;958;984;97.3577235772358
208;721;2021;119;856;13.9018691588785
207;722;2021;125;937;13.3404482390608
205;723;2021;8;272;2.94117647058824
204;724;2021;8;272;2.94117647058824
206;725;2021;125;937;13.3404482390608
216;726;2009;584;1859;31.4147391070468
210;727;2009;2295;2330;98.4978540772532
215;728;2009;4382;4399;99.6135485337577
211;729;2009;927;932;99.4635193133047
213;730;2009;927;932;99.4635193133047
209;731;2009;2295;2330;98.4978540772532
212;732;2009;927;932;99.4635193133047
214;733;2009;4382;4399;99.6135485337577
216;734;2015;275;1810;15.1933701657459
