OBJECTID_1;FID_new;max;sum;vuosi
3811610;1743;1;3259;2013
3811610;1743;1;552;2019
3811610;1743;1;529;2019
3811610;1743;1;568;2021
3810587;1742;1;1679;2009
3810587;1742;1;2476;2013
3810587;1742;1;216;2021
3798442;1741;1;2018;2008
3798442;1741;1;1686;2010
3798442;1741;1;2435;2015
3798442;1741;1;1000;2020
3798440;1740;1;690;2008
3798440;1740;1;560;2010
3798440;1740;1;763;2015
3798440;1740;1;448;2020
3798268;1739;1;845;2008
3798268;1739;1;971;2015
3798268;1739;1;776;2020
3794226;1738;1;3077;2010
3794226;1738;1;3123;2020
3794224;1737;1;4073;2010
3794224;1737;1;4463;2020
3788853;1736;1;1754;2010
3788853;1736;1;738;2019
3788853;1736;;;2020
3786883;1735;1;2713;2010
3786883;1735;1;1044;2019
3783618;1734;1;196;2010
3783618;1734;1;223;2015
3783611;1733;1;3083;2010
3783611;1733;1;3740;2015
3782638;1732;1;2086;2010
3782638;1732;;;2020
3782637;1731;1;2003;2010
3782637;1731;;;2020
3781484;1730;1;4597;2010
3781484;1730;1;973;2015
3780605;1729;1;1903;2010
3780605;1729;1;2624;2015
3780237;1728;1;4093;2010
3780237;1728;1;4281;2015
3780234;1727;1;1048;2010
3780234;1727;1;599;2015
3780230;1726;1;3699;2010
3780230;1726;1;3886;2015
3780227;1725;1;2866;2010
3780227;1725;1;3041;2015
3780224;1724;1;1882;2010
3780224;1724;1;1864;2015
3778599;1723;1;599;2010
3778599;1723;1;703;2015
3778599;1723;1;469;2016
3778310;1722;1;189;2010
3778310;1722;1;254;2015
3778310;1722;;;2016
3778099;1721;1;1998;2010
3776496;1720;1;91;2010
3776495;1719;1;2116;2010
3775520;1718;1;878;2010
3775520;1718;1;984;2019
3770377;1717;1;3964;2010
3770377;1717;1;1236;2019
3769459;1716;1;7558;2010
3769459;1716;1;8005;2019
3768550;1715;1;94;2010
3768550;1715;1;3;2019
3768547;1714;1;1975;2010
3768547;1714;1;600;2019
3768545;1713;1;1794;2010
3768545;1713;1;484;2019
3768540;1712;1;1351;2010
3768540;1712;1;169;2019
3768539;1711;1;1360;2010
3768539;1711;1;207;2019
3768094;1710;1;725;2010
3768094;1710;1;79;2019
3768090;1709;1;549;2010
3768090;1709;1;233;2019
3765643;1708;1;1515;2010
3765643;1708;1;1362;2019
3765447;1707;;;2010
3765447;1707;;;2019
3764831;1706;1;593;2010
3764831;1706;1;584;2019
3762399;1705;1;818;2010
3762399;1705;1;621;2019
3762269;1704;1;64;2010
3762269;1704;1;80;2019
3759202;1703;1;1412;2008
3759202;1703;1;1364;2010
3759202;1703;1;1005;2018
3759202;1703;1;892;2019
3756136;1702;1;23;2008
3756136;1702;1;23;2018
3756136;1702;1;23;2019
3756136;1702;;;2021
3753519;1701;1;3785;2008
3753519;1701;1;3927;2015
3753519;1701;1;3047;2018
3753519;1701;1;3243;2020
3752764;1700;1;3354;2008
3752764;1700;1;4013;2015
3752764;1700;1;1639;2018
3752764;1700;1;2371;2020
3745919;1699;1;1572;2008
3745919;1699;1;662;2015
3745918;1698;1;937;2008
3745918;1698;1;541;2015
3745917;1697;1;2507;2008
3745917;1697;1;1350;2015
3742162;1696;1;85;2008
3742162;1696;1;88;2015
3742162;1696;1;87;2018
3742162;1696;1;87;2020
3739278;1695;1;1172;2008
3739278;1695;1;851;2015
3739278;1695;1;816;2019
3739278;1695;1;793;2019
3739278;1695;;;2020
3739124;1694;1;2195;2011
3739124;1694;;;2013
3739124;1694;1;859;2019
3739124;1694;1;837;2019
